,id,number,state,userId,userlogin,username,labels,createTimestamp,updateTimestamp,finishTimestamp,type
567,2711710,I1M4DA,open,7641551,nhussain,nhussain,[],2020-06-29T22:57:05+08:00,2020-07-03T21:40:31+08:00,,Bug-Report
568,2710874,I1M3Q2,open,6578500,laiyongqiang,laiyongqiang,"[{'id': 58022108, 'name': 'device/gpu', 'color': '1083d6', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/device/gpu', 'created_at': '2020-03-19T16:26:25+08:00', 'updated_at': '2021-02-05T17:06:03+08:00'}, {'id': 58022151, 'name': 'device/ascend', 'color': 'b000cf', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/device/ascend', 'created_at': '2020-03-19T16:26:34+08:00', 'updated_at': '2021-02-05T16:40:22+08:00'}]",2020-06-29T18:59:06+08:00,2020-09-29T10:27:00+08:00,,RFC
569,2710750,I1M3MM,open,7541106,cheng_xiaoli,chengxiaoli,[],2020-06-29T18:36:02+08:00,2020-06-29T18:36:03+08:00,,Empty-Template
570,2707391,I1M11B,open,7729789,yuxiangjohn,yuxiangJohn,[],2020-06-29T11:32:50+08:00,2020-06-29T11:32:51+08:00,,Empty-Template
571,2704751,I1LYZZ,open,7729789,yuxiangjohn,yuxiangJohn,[],2020-06-28T19:34:55+08:00,2020-06-28T19:34:55+08:00,,Requirement
572,2700816,I1LVYO,open,6564253,destinywck,Destiny,[],2020-06-28T10:58:33+08:00,2020-06-30T16:00:14+08:00,,Bug-Report
573,2697420,I1LTCC,open,7342120,jkl_lee,JesseKLee,[],2020-06-27T01:33:25+08:00,2020-07-08T19:53:40+08:00,,Bug-Report
574,2688384,I1LMDC,open,6584654,yoonlee666,yoonlee666,[],2020-06-23T20:40:55+08:00,2020-06-23T20:41:36+08:00,,RFC
575,2682624,I1LHXC,open,1850005,zymaa,ZYMa,[],2020-06-23T01:52:28+08:00,2020-06-23T01:52:29+08:00,,Bug-Report
576,2682543,I1LHV3,open,7346502,ziruiwu,ZiruiWu,[],2020-06-22T23:51:55+08:00,2020-07-01T05:50:34+08:00,,Empty-Template
577,2678958,I1LF3I,open,6579529,hhc2020,hhc2020,"[{'id': 58020586, 'name': 'kind/feature', 'color': '6a06d1', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/kind/feature', 'created_at': '2020-03-19T16:18:31+08:00', 'updated_at': '2021-02-05T17:06:03+08:00'}]",2020-06-22T16:22:27+08:00,2020-06-22T16:23:22+08:00,,RFC
578,2676506,I1LD7E,open,6575739,pandoublefeng,panfengfeng,[],2020-06-22T11:22:31+08:00,2020-06-22T11:23:54+08:00,,Requirement
579,2667538,I1L6AA,open,7691544,KingsleyZ,君羊,[],2020-06-19T14:57:17+08:00,2020-06-19T14:57:18+08:00,,Bug-Report
580,2667506,I1L69E,open,6573934,wangcong666,wangcong,[],2020-06-19T14:53:01+08:00,2020-06-19T14:54:08+08:00,,Bug-Report
581,2664402,I1L3V6,open,6575739,pandoublefeng,panfengfeng,[],2020-06-18T22:00:05+08:00,2020-06-19T12:34:20+08:00,,Bug-Report
582,2659492,I1L02S,open,7363072,avakh,ava,[],2020-06-18T10:35:07+08:00,2020-06-18T10:35:08+08:00,,RFC
583,2656123,I1KXH7,open,6575400,yanghaitao1,yanghaitao,[],2020-06-17T16:35:01+08:00,2020-06-17T16:36:11+08:00,,RFC
584,2655847,I1KX9J,open,734519,zzqq2199,zzqq2199,[],2020-06-17T16:09:12+08:00,2020-06-17T19:51:52+08:00,,Empty-Template
585,2647203,I1KQLF,open,6584960,gong_zi_yan,gziyan,[],2020-06-16T10:29:15+08:00,2020-09-22T14:45:06+08:00,,RFC
586,2645802,I1KPII,open,6574868,jojobugfree,caifubi,[],2020-06-15T21:19:37+08:00,2020-06-27T10:02:08+08:00,,RFC
